IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.1.31,59450,192.168.1.1,53,17,5,108,108,2,2,0,2,1,dos
192.168.1.31,59450,192.168.1.1,53,17,5,108,108,2,2,0,2,1,injection
192.168.1.31,59450,192.168.1.1,53,17,5,108,108,2,2,0,2,1,ddos
192.168.1.31,43803,192.168.1.1,53,17,5,100,100,2,2,0,7,1,scanning
192.168.1.31,43803,192.168.1.1,53,17,5,100,100,2,2,0,7,1,dos
192.168.1.31,43803,192.168.1.1,53,17,5,100,100,2,2,0,7,1,injection
192.168.1.31,43803,192.168.1.1,53,17,5,100,100,2,2,0,7,1,ddos
192.168.1.31,50011,192.168.1.1,53,17,5,108,108,2,2,0,2,1,injection
192.168.1.31,50011,192.168.1.1,53,17,5,108,108,2,2,0,2,1,ddos
192.168.1.31,55670,192.168.1.1,53,17,5,100,100,2,2,0,2,1,injection
192.168.1.31,55670,192.168.1.1,53,17,5,100,100,2,2,0,2,1,ddos
192.168.1.31,51343,192.168.1.1,53,17,5,140,480,2,2,0,246,1,injection
192.168.1.31,51343,192.168.1.1,53,17,5,140,480,2,2,0,246,1,ddos
192.168.1.31,47615,192.168.1.1,53,17,5,108,108,2,2,0,2,1,scanning
192.168.1.31,47615,192.168.1.1,53,17,5,108,108,2,2,0,2,1,dos
192.168.1.31,47615,192.168.1.1,53,17,5,108,108,2,2,0,2,1,injection
192.168.1.31,47615,192.168.1.1,53,17,5,108,108,2,2,0,2,1,ddos
192.168.1.31,50856,192.168.1.1,53,17,5,100,100,2,2,0,2,1,injection
192.168.1.31,50856,192.168.1.1,53,17,5,100,100,2,2,0,2,1,ddos
192.168.1.31,60887,192.168.1.1,53,17,5,108,108,2,2,0,2,1,dos
192.168.1.31,60887,192.168.1.1,53,17,5,108,108,2,2,0,2,1,injection
192.168.1.31,60887,192.168.1.1,53,17,5,108,108,2,2,0,2,1,ddos
192.168.1.31,36234,192.168.1.1,53,17,5,100,100,2,2,0,2,1,dos
